,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Spanish Hit,Hit,Dance_miss,Energy_miss,Valence_miss
0,Chayanne,Salomé,Atado A Tu Amor,1998-09-29,70,58,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",0.773,0.813,11,-6.185,0,0.155,0.00335,0.000103,0.0551,0.757,128.004,audio_features,4dtlsMh8wam865qaU4WEnM,spotify:track:4dtlsMh8wam865qaU4WEnM,https://api.spotify.com/v1/tracks/4dtlsMh8wam865qaU4WEnM,https://api.spotify.com/v1/audio-analysis/4dtlsMh8wam865qaU4WEnM,253133,4,[0 0 0 1],0,0,0,1
1,Carlos Vives,La Bicicleta,VIVES,2017-11-10,74,73,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",0.745,0.944,0,-3.959,1,0.134,0.21,1.45e-06,0.333,0.951,179.991,audio_features,0Gx4VrHzS7pZOEAGrmXXBH,spotify:track:0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/tracks/0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/audio-analysis/0Gx4VrHzS7pZOEAGrmXXBH,229510,4,"(1, 0, 0, 0)",1,0,0,0
2,Lorna,Papi Chulo... Te Traigo El Mmmm - Radio Version,Papi Chulo... Te Traigo El Mmmm,2003-05-10,46,57,"['latin', 'perreo', 'reggaeton']",0.851,0.797,1,-8.4,1,0.103,0.00461,6.16e-06,0.292,0.676,109.984,audio_features,6PRv5QDR843SgVpk4IqEit,spotify:track:6PRv5QDR843SgVpk4IqEit,https://api.spotify.com/v1/tracks/6PRv5QDR843SgVpk4IqEit,https://api.spotify.com/v1/audio-analysis/6PRv5QDR843SgVpk4IqEit,180467,4,[0 0 0 1],0,0,0,1
3,Shakira,La Tortura (feat. Alejandro Sanz),"Fijación Oral, Vol. 1",2005-06-03,85,74,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,audio_features,5BSclXJTa9B0iURhUjZo50,spotify:track:5BSclXJTa9B0iURhUjZo50,https://api.spotify.com/v1/tracks/5BSclXJTa9B0iURhUjZo50,https://api.spotify.com/v1/audio-analysis/5BSclXJTa9B0iURhUjZo50,212893,4,[0 0 1 0],0,0,1,0
4,Elvis Crespo,Suavemente,Suavemente,1998-02-27,64,65,"['latin', 'latin pop', 'tropical']",0.814,0.874,8,-3.18,1,0.071,0.234,0.00162,0.0476,0.911,124.052,audio_features,7JIjUx3GsL0upxmNJacmtz,spotify:track:7JIjUx3GsL0upxmNJacmtz,https://api.spotify.com/v1/tracks/7JIjUx3GsL0upxmNJacmtz,https://api.spotify.com/v1/audio-analysis/7JIjUx3GsL0upxmNJacmtz,267160,4,"(1, 0, 0, 0)",1,0,0,0
5,Lorca,Ritmo De La Noche - Radio Version,Ritmo De La Noche,1990-05-04,25,43,[],0.585,0.843,2,-12.877,1,0.0417,0.0337,4.7e-05,0.253,0.879,122.489,audio_features,3iJtnOzdEmkVLgaPUPT4b8,spotify:track:3iJtnOzdEmkVLgaPUPT4b8,https://api.spotify.com/v1/tracks/3iJtnOzdEmkVLgaPUPT4b8,https://api.spotify.com/v1/audio-analysis/3iJtnOzdEmkVLgaPUPT4b8,228333,4,[0 1 0 0],0,1,0,0
6,Sonia Y Selena,Yo Quiero Bailar,Yo Quiero Bailar,2001-01-01,40,56,['spanish pop'],0.628,0.948,11,-5.982,1,0.0828,0.161,0.000166,0.316,0.909,133.952,audio_features,4rFCPjKfgbEeNvs1Ku4nbd,spotify:track:4rFCPjKfgbEeNvs1Ku4nbd,https://api.spotify.com/v1/tracks/4rFCPjKfgbEeNvs1Ku4nbd,https://api.spotify.com/v1/audio-analysis/4rFCPjKfgbEeNvs1Ku4nbd,213067,4,[0 1 0 0],0,1,0,0
7,Luis Fonsi,Despacito,VIDA,2019-02-01,75,80,"['latin', 'latin pop', 'puerto rican pop']",0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4,[0 1 0 0],0,1,0,0
8,Los Del Rio,Macarena,Hits Of The 90s,2002-05-24,56,62,['tropical'],0.739,0.888,8,-7.16,0,0.0576,0.199,0.0,0.0704,0.955,103.186,audio_features,6mhw2fEPH4fMF0wolNm96e,spotify:track:6mhw2fEPH4fMF0wolNm96e,https://api.spotify.com/v1/tracks/6mhw2fEPH4fMF0wolNm96e,https://api.spotify.com/v1/audio-analysis/6mhw2fEPH4fMF0wolNm96e,222627,4,"(1, 0, 0, 0)",1,0,0,0
9,King Africa,La Bomba,La Bomba,2009,46,63,[],0.895,0.92,1,-5.18,1,0.187,0.0852,0.0,0.16,0.891,99.998,audio_features,5UmGJS0jd1r52OjnNvVHvU,spotify:track:5UmGJS0jd1r52OjnNvVHvU,https://api.spotify.com/v1/tracks/5UmGJS0jd1r52OjnNvVHvU,https://api.spotify.com/v1/audio-analysis/5UmGJS0jd1r52OjnNvVHvU,199107,4,"(1, 0, 0, 0)",1,0,0,0
